section,parameter,chinese_name,total_images,tag_present_n,tag_present_rate,nonblank_n,nonblank_rate,valid_n,warning_n,invalid_n,blank_n,missing_tag_n,usable_n,usable_rate,unique_nonblank_values,numeric_min,numeric_median,numeric_max,most_common_values
常规 EXIF 相机信息,Make,设备厂商,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,2,,,,"{""HONOR"": 283, ""Xiaomi"": 239}"
常规 EXIF 相机信息,Model,设备型号,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,2,,,,"{""BVL-AN00"": 283, ""M2006J10C"": 239}"
常规 EXIF 相机信息,Software,生成软件,522,239,0.4578544061302682,239,0.4578544061302682,239,0,0,0,283,239,0.4578544061302682,1,,,,"{""MediaTek Camera Application"": 239}"
常规 EXIF 相机信息,Orientation,图像方向,522,522,1.0,522,1.0,521,0,1,0,0,521,0.9980842911877394,5,0.0,1.0,8.0,"{""1"": 509, ""8"": 10, ""0"": 1, ""3"": 1, ""6"": 1}"
常规 EXIF 相机信息,ImageDescription,图像描述,522,521,0.9980842911877394,0,0.0,0,0,0,521,1,0,0.0,0,,,,{}
常规 EXIF 相机信息,DateTime,EXIF 主时间,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,522,1717031420.0,1732714409.5,1780275025.0,"{""2024:10:12 08:33:21"": 1, ""2024:11:15 09:31:49"": 1, ""2024:11:01 09:17:12"": 1, ""2024:11:01 09:25:49"": 1, ""2024:11:15 09:36:16"": 1, ""2024:11:01 09:26:00"": 1, ""2026:05:09 09:44:01"": 1, ""2025:02:06 09:09:57"": 1}"
常规 EXIF 相机信息,DateTimeOriginal,原始拍摄时间,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,522,1717031420.0,1732714409.5,1780275025.0,"{""2024:10:12 08:33:21"": 1, ""2024:11:15 09:31:49"": 1, ""2024:11:01 09:17:12"": 1, ""2024:11:01 09:25:49"": 1, ""2024:11:15 09:36:16"": 1, ""2024:11:01 09:26:00"": 1, ""2026:05:09 09:44:01"": 1, ""2025:02:06 09:09:57"": 1}"
常规 EXIF 相机信息,DateTimeDigitized,数字化时间,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,522,1717031420.0,1732714409.5,1780275025.0,"{""2024:10:12 08:33:21"": 1, ""2024:11:15 09:31:49"": 1, ""2024:11:01 09:17:12"": 1, ""2024:11:01 09:25:49"": 1, ""2024:11:15 09:36:16"": 1, ""2024:11:01 09:26:00"": 1, ""2026:05:09 09:44:01"": 1, ""2025:02:06 09:09:57"": 1}"
常规 EXIF 相机信息,OffsetTime,主时间时区偏移,522,283,0.5421455938697318,283,0.5421455938697318,283,0,0,0,239,283,0.5421455938697318,1,,,,"{""+08:00"": 283}"
常规 EXIF 相机信息,OffsetTimeOriginal,原始拍摄时间时区偏移,522,283,0.5421455938697318,283,0.5421455938697318,283,0,0,0,239,283,0.5421455938697318,1,,,,"{""+08:00"": 283}"
常规 EXIF 相机信息,ExifVersion,EXIF 版本,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,2,,,,"{""0230"": 283, ""0220"": 239}"
常规 EXIF 相机信息,FlashPixVersion,FlashPix 版本,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,1,,,,"{""0100"": 522}"
常规 EXIF 相机信息,ColorSpace,色彩空间,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,1,1.0,1.0,1.0,"{""1"": 522}"
常规 EXIF 相机信息,XResolution,水平分辨率,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,1,72.0,72.0,72.0,"{""72"": 522}"
常规 EXIF 相机信息,YResolution,垂直分辨率,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,1,72.0,72.0,72.0,"{""72"": 522}"
常规 EXIF 相机信息,ResolutionUnit,分辨率单位,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,1,2.0,2.0,2.0,"{""2"": 522}"
常规 EXIF 相机信息,YCbCrPositioning,YCbCr 色度定位,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,2,1.0,1.0,2.0,"{""1"": 283, ""2"": 239}"
常规 EXIF 相机信息,ExifImageWidth,EXIF 图像宽度,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,6,2268.0,4096.0,4624.0,"{""4096"": 265, ""4624"": 234, ""4032"": 11, ""3072"": 6, ""3472"": 5, ""2268"": 1}"
常规 EXIF 相机信息,ExifImageHeight,EXIF 图像高度,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,9,2268.0,3072.0,4624.0,"{""3472"": 234, ""3072"": 190, ""2304"": 73, ""2268"": 11, ""4096"": 6, ""4624"": 5, ""4032"": 1, ""2568"": 1}"
拍摄参数,ExposureTime,曝光时间,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,37,0.0022222222222222222,0.02,0.050009,"{""0.020004"": 109, ""0.01"": 109, ""0.02"": 102, ""0.030006"": 84, ""0.030303030303030304"": 29, ""0.040008"": 22, ""0.010002"": 10, ""0.010003"": 10}"
拍摄参数,FNumber,光圈 F 值,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,3,1.89,1.9,2.0,"{""1.9"": 271, ""1.89"": 239, ""2"": 12}"
拍摄参数,ISOSpeedRatings,ISO 感光度,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,179,50.0,241.5,1600.0,"{""320"": 39, ""400"": 38, ""200"": 37, ""250"": 30, ""640"": 28, ""500"": 20, ""160"": 18, ""800"": 17}"
拍摄参数,ISOSpeed,新版 ISO 字段,522,279,0.5344827586206896,279,0.5344827586206896,279,0,0,0,243,279,0.5344827586206896,16,50.0,320.0,1600.0,"{""320"": 39, ""400"": 38, ""200"": 36, ""250"": 29, ""640"": 28, ""500"": 20, ""800"": 17, ""160"": 15}"
拍摄参数,FocalLength,实际焦距,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,3,1.82,6.67,6.67,"{""6.67"": 271, ""5.43"": 239, ""1.82"": 12}"
拍摄参数,FocalLengthIn35mmFilm,35mm 等效焦距,522,522,1.0,522,1.0,283,0,239,0,0,283,0.5421455938697318,2,0.0,27.0,27.0,"{""27"": 283, ""0"": 239}"
拍摄参数,ExposureBiasValue,曝光补偿,522,522,1.0,522,1.0,516,0,6,0,0,516,0.9885057471264368,2,-25.0,0.0,0.0,"{""0"": 516, ""-25"": 6}"
拍摄参数,ExposureProgram,曝光程序,522,522,1.0,522,1.0,283,239,0,0,0,522,1.0,2,0.0,2.0,2.0,"{""2"": 283, ""0"": 239}"
拍摄参数,ExposureMode,曝光模式,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,1,0.0,0.0,0.0,"{""0"": 522}"
拍摄参数,MeteringMode,测光模式,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,2,2.0,2.0,3.0,"{""2"": 503, ""3"": 19}"
拍摄参数,LightSource,光源类型,522,522,1.0,522,1.0,0,522,0,0,0,522,1.0,1,255.0,255.0,255.0,"{""255"": 522}"
拍摄参数,Flash,闪光灯状态,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,2,16.0,16.0,24.0,"{""16"": 484, ""24"": 38}"
拍摄参数,WhiteBalance,白平衡模式,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,1,0.0,0.0,0.0,"{""0"": 522}"
拍摄参数,BrightnessValue,亮度值,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,277,-2.67,3.0549999999999997,10.9,"{""7.2"": 13, ""7.9"": 12, ""7.6"": 11, ""6.6"": 11, ""7.4"": 7, ""7.3"": 7, ""6.9"": 7, ""6.5"": 7}"
拍摄参数,ShutterSpeedValue,快门速度值,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,46,0.0,5.058,8.815,"{""2"": 109, ""6.643"": 106, ""5.643"": 96, ""1.584"": 84, ""5.058"": 27, ""1"": 22, ""3.169"": 20, ""5.644"": 6}"
拍摄参数,ApertureValue,光圈值,522,283,0.5421455938697318,283,0.5421455938697318,283,0,0,0,239,283,0.5421455938697318,2,1.85,1.85,2.0,"{""1.85"": 271, ""2"": 12}"
拍摄参数,MaxApertureValue,最大光圈值,522,522,1.0,522,1.0,283,0,239,0,0,283,0.5421455938697318,3,0.0,1.85,2.0,"{""1.85"": 271, ""0"": 239, ""2"": 12}"
拍摄参数,DigitalZoomRatio,数字变焦比例,522,239,0.4578544061302682,239,0.4578544061302682,0,239,0,0,283,239,0.4578544061302682,1,100.0,100.0,100.0,"{""100"": 239}"
拍摄参数,SceneCaptureType,场景拍摄类型,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,1,0.0,0.0,0.0,"{""0"": 522}"
拍摄参数,SensingMethod,传感器类型,522,283,0.5421455938697318,283,0.5421455938697318,0,283,0,0,239,283,0.5421455938697318,1,1.0,1.0,1.0,"{""1"": 283}"
拍摄参数,SubsecTime,主时间亚秒,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,462,,,,"{""720000"": 3, ""783000"": 3, ""442"": 3, ""842000"": 3, ""653000"": 3, ""860"": 3, ""877000"": 3, ""019000"": 2}"
拍摄参数,SubsecTimeOriginal,原始拍摄时间亚秒,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,462,,,,"{""720000"": 3, ""783000"": 3, ""442"": 3, ""842000"": 3, ""653000"": 3, ""860"": 3, ""877000"": 3, ""019000"": 2}"
拍摄参数,SubsecTimeDigitized,数字化时间亚秒,522,522,1.0,522,1.0,522,0,0,0,0,522,1.0,462,,,,"{""720000"": 3, ""783000"": 3, ""442"": 3, ""842000"": 3, ""653000"": 3, ""860"": 3, ""877000"": 3, ""019000"": 2}"
