fold,split_role,target,valid_n,raw_variance,calibrated_variance,variance_retention
0,train,cheek_mean_log2_y,400,0.20967258762558241,0.114736485695162,0.54721738780679241
0,train,cheek_mean_log2_rg,400,0.022697915367875,0.018828247426653299,0.82951439026429152
0,train,cheek_mean_log2_bg,400,0.0187120460953519,0.017299363176819401,0.92450409157107583
0,train,forehead_minus_cheek_log2_y,390,0.1131138131876127,0.11063090996184261,0.97804951353154457
0,train,forehead_minus_cheek_log2_rg,390,0.013522098863114101,0.012203027117459801,0.9024506654619654
0,train,forehead_minus_cheek_log2_bg,390,0.0141743356909494,0.0127433063880198,0.89904082038615252
0,val,cheek_mean_log2_y,100,0.17505829617406241,0.1297058082218738,0.74092922790077842
0,val,cheek_mean_log2_rg,100,0.018237576177829899,0.016947893620409899,0.92928432238776582
0,val,cheek_mean_log2_bg,100,0.021975069539970901,0.020085978816656101,0.9140348238771796
0,val,forehead_minus_cheek_log2_y,96,0.078661761320994006,0.077639906190629507,0.98700950610303961
0,val,forehead_minus_cheek_log2_rg,96,0.0138200016655638,0.012753661185161601,0.9228407849574144
0,val,forehead_minus_cheek_log2_bg,96,0.011140454437761699,0.0098186318532920997,0.88134931192850463
1,train,cheek_mean_log2_y,400,0.21137484031449111,0.1185683405389162,0.56093875866449361
1,train,cheek_mean_log2_rg,400,0.0225186895237449,0.018432819042012601,0.81855647161776945
1,train,cheek_mean_log2_bg,400,0.019912450439781501,0.018329859859411698,0.92052256023658163
1,train,forehead_minus_cheek_log2_y,389,0.1043117561256359,0.1003978832928534,0.96247908214613398
1,train,forehead_minus_cheek_log2_rg,389,0.0135651555213404,0.012092248380173001,0.89141981167483164
1,train,forehead_minus_cheek_log2_bg,389,0.013199432390705401,0.011802517840990999,0.89416858934797638
1,val,cheek_mean_log2_y,100,0.1680404855954061,0.10895540920839,0.64838785023939871
1,val,cheek_mean_log2_rg,100,0.019419641784731899,0.018565734865633898,0.95602869874925878
1,val,cheek_mean_log2_bg,100,0.017055467544973401,0.0154440232622103,0.90551743723742395
1,val,forehead_minus_cheek_log2_y,97,0.12272743543554469,0.1249926107027039,1.0184569591886308
1,val,forehead_minus_cheek_log2_rg,97,0.0136668007789913,0.012924461623374101,0.94568303382615559
1,val,forehead_minus_cheek_log2_bg,97,0.0152197829601293,0.0136072263020828,0.89404864298848008
2,train,cheek_mean_log2_y,400,0.2089037461908366,0.1233201782312067,0.59032056858641435
2,train,cheek_mean_log2_rg,400,0.0210858519380011,0.017772424775294601,0.84286017124425616
2,train,cheek_mean_log2_bg,400,0.019817145187967001,0.017804230722355801,0.8984256084053226
2,train,forehead_minus_cheek_log2_y,389,0.1171623735883973,0.11313221112708,0.9656019049641682
2,train,forehead_minus_cheek_log2_rg,389,0.0141039038527997,0.0128609776321529,0.9118736036760422
2,train,forehead_minus_cheek_log2_bg,389,0.013375954842026401,0.0117319134866833,0.8770897947279519
2,val,cheek_mean_log2_y,100,0.16409478252804199,0.085150125719444802,0.51890818469437672
2,val,cheek_mean_log2_rg,100,0.022310349864296499,0.0186188891271468,0.83454043707950887
2,val,cheek_mean_log2_bg,100,0.0174515476360898,0.017867295506495798,1.023822980005868
2,val,forehead_minus_cheek_log2_y,97,0.071214562405420803,0.073831747967866998,1.0367507076368263
2,val,forehead_minus_cheek_log2_rg,97,0.011055568381074399,0.0099576536568487996,0.90069124567986081
2,val,forehead_minus_cheek_log2_bg,97,0.014505300308542199,0.0139252230453677,0.96000928965029075
3,train,cheek_mean_log2_y,400,0.2088958929952163,0.1208428095599751,0.57848341500300515
3,train,cheek_mean_log2_rg,400,0.021985492551065001,0.018389375004763599,0.83643225013272726
3,train,cheek_mean_log2_bg,400,0.019463380003376201,0.0176827113726871,0.90851184992636558
3,train,forehead_minus_cheek_log2_y,387,0.098489325057087698,0.094772721918053401,0.96226389878415675
3,train,forehead_minus_cheek_log2_rg,387,0.0138680314200001,0.012423253668353101,0.89581955016604842
3,train,forehead_minus_cheek_log2_bg,387,0.0138918880167302,0.012031053478441101,0.86604883828259493
3,val,cheek_mean_log2_y,100,0.17701579033244891,0.1006625838434055,0.5686644318812103
3,val,cheek_mean_log2_rg,100,0.021404608992365098,0.018402092619029201,0.85972570793482317
3,val,cheek_mean_log2_bg,100,0.0188062111694015,0.0179333012872777,0.95358395828586595
3,val,forehead_minus_cheek_log2_y,99,0.14343198415640229,0.14512923315145529,1.0118331277715735
3,val,forehead_minus_cheek_log2_rg,99,0.012507950644487001,0.011936266008654399,0.95429430031492479
3,val,forehead_minus_cheek_log2_bg,99,0.0125657870927805,0.0126920051687125,1.0100445817679429
4,train,cheek_mean_log2_y,400,0.17316382474929409,0.0993735004734672,0.57386986350838443
4,train,cheek_mean_log2_rg,400,0.020993819540422801,0.017988897099629302,0.85686632987353384
4,train,cheek_mean_log2_bg,400,0.0189232497355547,0.017285274794927901,0.91344113915332203
4,train,forehead_minus_cheek_log2_y,389,0.106255228450805,0.1033506925685512,0.97266453684583998
4,train,forehead_minus_cheek_log2_rg,389,0.012954995751914901,0.0116929129825592,0.90257945324535438
4,train,forehead_minus_cheek_log2_bg,389,0.013489799600428599,0.012167910820080299,0.9020082714715606
4,val,cheek_mean_log2_y,100,0.30170889176500171,0.1799325493527297,0.59637801292537806
4,val,cheek_mean_log2_rg,100,0.024083642091526501,0.019164870792061899,0.79576297967012444
4,val,cheek_mean_log2_bg,100,0.021143600760987199,0.019710150515103001,0.93220406201912975
4,val,forehead_minus_cheek_log2_y,97,0.11348495536591099,0.1098343332194778,0.96783166425309475
4,val,forehead_minus_cheek_log2_rg,97,0.016146470411046401,0.0147424429269604,0.91304430947797444
4,val,forehead_minus_cheek_log2_bg,97,0.0142059826014059,0.012182718679095501,0.85757662957364655
