camera_id,observation_name,valid_n,missing_n,min,q25,median,q75,max,mean,std,iqr
HONOR/BVL-AN00,forehead_log2_y_median,263,4,-2.6807889812808328,-1.9344330770100648,-1.7414269613684443,-1.5408225278632264,-0.90895034317188628,-1.7456592720332635,0.28947125306308424,0.39361054914683846
HONOR/BVL-AN00,forehead_log2_rg_median,263,4,0.29214366972024847,0.81602071836385737,0.88958906815862226,0.97957639145174513,1.3287243757182825,0.89259108839281931,0.13981978680773297,0.16355567308788777
HONOR/BVL-AN00,forehead_log2_bg_median,263,4,-1.2878086983366976,-0.82997563817343156,-0.71199199102723731,-0.58687107971104346,-0.13942311542772035,-0.7129779431310368,0.18053538548658027,0.2431045584623881
HONOR/BVL-AN00,cheek_image_left_log2_y_median,267,0,-3.2251592510828053,-2.0750617666002125,-1.7502322433087607,-1.3590457568221541,-0.82309422942932797,-1.7546553024800564,0.47737656171391613,0.71601600977805835
HONOR/BVL-AN00,cheek_image_left_log2_rg_median,267,0,0.29818102752686243,0.81121138292419359,0.90333564600668281,1.0242778844052787,1.4138447148803777,0.92425041643056738,0.1697784104010728,0.21306650148108508
HONOR/BVL-AN00,cheek_image_left_log2_bg_median,267,0,-1.2233756357844239,-0.70990105223831301,-0.60156732062010654,-0.48945701815247455,-0.13065903851214863,-0.60811617320715683,0.17374901462404727,0.22044403408583846
HONOR/BVL-AN00,cheek_image_right_log2_y_median,267,0,-2.8431582469812922,-1.9868282614179589,-1.6418552950609571,-1.3092375092508433,-0.86651735109287109,-1.6652732355895923,0.43002135626277332,0.67759075216711562
HONOR/BVL-AN00,cheek_image_right_log2_rg_median,267,0,0.47977277923075273,0.79182604897070596,0.8951853441030736,1.0085084892437126,1.3284079967321638,0.90641401593279347,0.15700741038026858,0.21668244027300665
HONOR/BVL-AN00,cheek_image_right_log2_bg_median,267,0,-1.1789490247734591,-0.71651713453589783,-0.58180994394243135,-0.46856495365080364,-0.24447435418987629,-0.60441745633741506,0.18487262022367162,0.24795218088509419
HONOR/BVL-AN00,cheek_mean_log2_y,267,0,-2.5577701040156136,-1.82051255022095,-1.6942725195308095,-1.5597014458394276,-0.98864904885959803,-1.7099642690348242,0.22016374214208442,0.26081110438152244
HONOR/BVL-AN00,cheek_mean_log2_rg,267,0,0.38897690337880758,0.84550565994446025,0.91802327771582359,0.99768146138173064,1.2396473707302822,0.91533221618168037,0.12055021372889119,0.15217580143727039
HONOR/BVL-AN00,cheek_mean_log2_bg,267,0,-0.99086164140997091,-0.70250973599333399,-0.60141809974453553,-0.51957068036359821,-0.20612828663875715,-0.60626681477228606,0.14076831486773114,0.18293905562973578
HONOR/BVL-AN00,forehead_minus_cheek_log2_y,263,4,-1.220806526653077,-0.17626892528405147,-0.018435600722095602,0.11752807257019271,0.58246029646749564,-0.033384580137345604,0.24982159201051182,0.29379699785424418
HONOR/BVL-AN00,forehead_minus_cheek_log2_rg,263,4,-0.34326477738955757,-0.087715570480075833,-0.019722227394164182,0.041558661766174843,0.39623707086232896,-0.023861053401325234,0.10181974221105654,0.12927423224625068
HONOR/BVL-AN00,forehead_minus_cheek_log2_bg,263,4,-0.47718516201279937,-0.17909075133222482,-0.093252059049005132,-0.032967624802843376,0.1978571372089537,-0.10772108830871134,0.1154550010535,0.14612312652938145
Xiaomi/M2006J10C,forehead_log2_y_median,223,10,-4.2251468946867243,-2.6119282927212204,-2.2163981540299456,-1.8340990643815784,-1.0327764407833955,-2.2604519596388024,0.55413910560448409,0.77782922833964196
Xiaomi/M2006J10C,forehead_log2_rg_median,223,10,0.49246571663059846,0.83316273155920251,0.95206793115297317,1.0629183931935491,1.4174221508594194,0.94295843616794006,0.17119241228658999,0.22975566163434658
Xiaomi/M2006J10C,forehead_log2_bg_median,223,10,-1.1764715228592728,-0.83750903032333579,-0.74713567286019811,-0.63577969369915277,-0.381913676285139,-0.74529766381118912,0.14827838401116544,0.20172933662418302
Xiaomi/M2006J10C,cheek_image_left_log2_y_median,233,0,-4.9658976143336444,-2.9041141506384012,-2.1627363759484544,-1.5243840076422848,-0.63001640038736018,-2.2466067067440956,0.85219846908827923,1.3797301429961164
Xiaomi/M2006J10C,cheek_image_left_log2_rg_median,233,0,0.49289462695504804,0.85074085268533284,0.97785810458057132,1.1736599589606722,1.5968046028751286,1.0037894302414736,0.2189235595219895,0.32291910627533937
Xiaomi/M2006J10C,cheek_image_left_log2_bg_median,233,0,-1.0545485179126777,-0.66257763567247985,-0.54629033420791084,-0.44086693935956511,-0.16022467818631414,-0.55543322540860451,0.15698127993668679,0.22171069631291473
Xiaomi/M2006J10C,cheek_image_right_log2_y_median,233,0,-4.679220596928241,-2.8510326545016182,-2.2185374006850447,-1.6848673072309672,-0.90082374910426566,-2.2909027322861828,0.73794999993398003,1.166165347270651
Xiaomi/M2006J10C,cheek_image_right_log2_rg_median,233,0,0.50314429968935692,0.89259392390721903,1.0445993399272766,1.2132056286513693,1.7365498487012552,1.0549057940862134,0.22106425622682058,0.32061170474415024
Xiaomi/M2006J10C,cheek_image_right_log2_bg_median,233,0,-1.219932324992971,-0.6648766435788902,-0.56066516760778562,-0.45815779927549322,-0.1822134919454691,-0.57203196805043321,0.15758322320110471,0.20671884430339699
Xiaomi/M2006J10C,cheek_mean_log2_y,233,0,-4.4573093916042916,-2.5641322317448036,-2.2827710304658084,-1.952139260893621,-1.2107549676975125,-2.268754719515139,0.46252260584730726,0.61199297085118265
Xiaomi/M2006J10C,cheek_mean_log2_rg,233,0,0.64458063541061617,0.9220584182279622,1.0371477907704607,1.140833851016434,1.4927992180506124,1.0293476121638436,0.15355909728762834,0.21877543278847178
Xiaomi/M2006J10C,cheek_mean_log2_bg,233,0,-1.0548843422010488,-0.65712297799071773,-0.55905025473986292,-0.45928502896195306,-0.19672353384988672,-0.56373259672951881,0.13437898771917287,0.19783794902876467
Xiaomi/M2006J10C,forehead_minus_cheek_log2_y,223,10,-1.6423573811402985,-0.18280711187309029,0.038977293352582709,0.26284766727549025,1.2722628297120337,0.020473869732148171,0.40148433200471639,0.44565477914858054
Xiaomi/M2006J10C,forehead_minus_cheek_log2_rg,223,10,-0.4940569609269917,-0.16412473279472672,-0.083699055540323197,0.0028512652226999058,0.22868952615784943,-0.089873174936687242,0.12328403137668592,0.16697599801742663
Xiaomi/M2006J10C,forehead_minus_cheek_log2_bg,223,10,-0.42536945525729197,-0.25229238863615805,-0.18205230729988497,-0.10191639785883982,0.1065184034021659,-0.17949128841619547,0.10636294578484799,0.15037599077731822
