ID,camera_id,roi_name,available_for_model,valid_skin_pixel_count,valid_skin_fraction,qc_flags,automatic_exclusion_applied
101737098,Xiaomi/M2006J10C,forehead,1,4945,0.72784810126582278,r_exact_255_present,0
101737098,Xiaomi/M2006J10C,cheek_image_right,1,1971,0.9776785714285714,r_exact_255_present,0
200378127,Xiaomi/M2006J10C,forehead,0,761,0.1640086206896551,forehead_fraction_below_0.20,0
200563014,Xiaomi/M2006J10C,cheek_image_left,1,1801,0.99833702882483355,r_exact_255_present,0
200732328,HONOR/BVL-AN00,cheek_image_right,1,1675,0.9378499440089586,r_exact_255_present,0
201223046,HONOR/BVL-AN00,forehead,1,3026,0.65925925925925921,r_exact_255_present,0
201223046,HONOR/BVL-AN00,cheek_image_left,1,2016,1,r_exact_255_present,0
201331515,HONOR/BVL-AN00,forehead,1,6872,0.84714003944773175,r_exact_255_present,0
201331515,HONOR/BVL-AN00,cheek_image_right,1,2070,1,r_exact_255_present,0
201380940,Xiaomi/M2006J10C,forehead,1,2485,0.45091634911994188,r_exact_255_present,0
201380940,Xiaomi/M2006J10C,cheek_image_right,1,1769,0.83640661938534278,r_exact_255_present,0
201770004,HONOR/BVL-AN00,cheek_image_right,1,1736,0.96230598669623058,r_exact_255_present,0
202201880,HONOR/BVL-AN00,forehead,1,4925,0.65903920781479997,b_exact_zero_present,0
203036405,Xiaomi/M2006J10C,cheek_image_right,1,1546,0.99485199485199483,r_exact_255_present,0
203550372,Xiaomi/M2006J10C,cheek_image_left,1,2192,0.96649029982363321,r_exact_255_present,0
203582980,Xiaomi/M2006J10C,forehead,0,464,0.096566077003121698,forehead_fraction_below_0.20,0
203582980,Xiaomi/M2006J10C,cheek_image_right,1,2060,0.97769340294257245,r_exact_255_present,0
203874889,Xiaomi/M2006J10C,forehead,0,197,0.047688211086903798,forehead_fraction_below_0.20,0
204228087,Xiaomi/M2006J10C,cheek_image_left,1,2020,0.99950519544779803,r_exact_255_present,0
204364833,Xiaomi/M2006J10C,cheek_image_left,1,1463,0.83361823361823362,r_exact_255_present;g_exact_255_present,0
204378187,HONOR/BVL-AN00,forehead,0,152,0.033815350389321402,forehead_fraction_below_0.20,0
204586681,HONOR/BVL-AN00,cheek_image_left,1,1335,0.79844497607655507,r_exact_255_present,0
204864836,HONOR/BVL-AN00,forehead,1,3834,0.63857428381079284,r_exact_255_present,0
204864836,HONOR/BVL-AN00,cheek_image_left,1,1551,0.90384615384615397,r_exact_255_present,0
204917772,Xiaomi/M2006J10C,forehead,1,3277,0.48998205741626788,r_exact_255_present,0
204917772,Xiaomi/M2006J10C,cheek_image_left,1,1760,0.98544232922732355,r_exact_255_present,0
205075256,HONOR/BVL-AN00,forehead,1,4900,0.74242424242424243,r_exact_255_present,0
205075256-1,HONOR/BVL-AN00,forehead,1,4210,0.71114864864864868,r_exact_255_present,0
205166769,Xiaomi/M2006J10C,forehead,1,4931,0.68126554296767061,r_exact_255_present,0
205166769,Xiaomi/M2006J10C,cheek_image_left,1,1751,0.89336734693877551,r_exact_255_present,0
205192459,Xiaomi/M2006J10C,forehead,1,4699,0.64831677704194257,r_exact_255_present,0
205192459,Xiaomi/M2006J10C,cheek_image_right,1,1555,0.88958810068649885,r_exact_255_present,0
205637707,Xiaomi/M2006J10C,cheek_image_left,1,1927,1,r_exact_255_present,0
206342969,Xiaomi/M2006J10C,cheek_image_left,1,1537,0.81495227995758224,r_exact_255_present,0
9300073600,HONOR/BVL-AN00,cheek_image_right,1,1950,1,r_exact_255_present,0
9300162628,Xiaomi/M2006J10C,cheek_image_left,1,2016,1,r_exact_255_present,0
9300198023,HONOR/BVL-AN00,forehead,1,4631,0.60822169687417915,r_exact_255_present,0
9300198023,HONOR/BVL-AN00,cheek_image_right,1,1830,0.96825396825396837,r_exact_255_present,0
9300305987,Xiaomi/M2006J10C,cheek_image_left,1,1644,0.91333333333333322,r_exact_255_present,0
9300518956,HONOR/BVL-AN00,forehead,0,806,0.18528735632183899,forehead_fraction_below_0.20,0
9300518956,HONOR/BVL-AN00,cheek_image_left,1,1702,0.98838559814169558,r_exact_255_present,0
9300531405,HONOR/BVL-AN00,forehead,1,5313,0.66279940119760483,r_exact_255_present,0
9300531405,HONOR/BVL-AN00,cheek_image_left,1,1998,0.9910714285714286,r_exact_255_present,0
9300574781,HONOR/BVL-AN00,cheek_image_left,1,1841,0.94410256410256399,r_exact_255_present,0
9300800427,HONOR/BVL-AN00,cheek_image_right,1,1912,0.98964803312629401,r_exact_255_present,0
9300858338,Xiaomi/M2006J10C,forehead,1,2450,0.46693348580141031,r_exact_255_present,0
9300858338,Xiaomi/M2006J10C,cheek_image_left,1,2187,0.99409090909090925,r_exact_255_present,0
9300907970,Xiaomi/M2006J10C,forehead,1,5186,0.74447315532586855,r_exact_255_present,0
9300907970,Xiaomi/M2006J10C,cheek_image_left,1,1861,0.98465608465608478,r_exact_255_present,0
9300980658,Xiaomi/M2006J10C,forehead,1,2296,0.50428289040193275,r_exact_255_present,0
9301133685,Xiaomi/M2006J10C,forehead,0,160,0.036630036630036597,forehead_fraction_below_0.20,0
A000119489,HONOR/BVL-AN00,cheek_image_right,1,2087,0.93755615453728658,r_exact_255_present,0
A000181243-1,HONOR/BVL-AN00,cheek_image_right,1,1882,0.97110423116615063,r_exact_255_present,0
A000454833,Xiaomi/M2006J10C,cheek_image_left,1,1627,0.90691192865105918,g_exact_zero_present;b_exact_zero_present,0
A000502944,Xiaomi/M2006J10C,cheek_image_left,1,1870,0.93500000000000005,r_exact_255_present,0
A001109618,Xiaomi/M2006J10C,cheek_image_left,1,1519,0.81143162393162394,r_exact_255_present,0
A001189410,Xiaomi/M2006J10C,cheek_image_left,1,1672,0.97777777777777763,r_exact_255_present,0
A001238999,Xiaomi/M2006J10C,forehead,1,2934,0.51257861635220126,r_exact_255_present,0
A001250372,Xiaomi/M2006J10C,forehead,0,701,0.15202775970505311,forehead_fraction_below_0.20,0
A001332832-1,Xiaomi/M2006J10C,forehead,1,3391,0.58374935444999143,r_exact_zero_present;g_exact_zero_present;b_exact_zero_present,0
A001367900,Xiaomi/M2006J10C,cheek_image_right,1,1926,0.94411764705882362,r_exact_255_present,0
A001370375,Xiaomi/M2006J10C,cheek_image_left,1,1839,0.9153807864609258,r_exact_255_present,0
A001409228,HONOR/BVL-AN00,cheek_image_left,1,1643,0.97972570065593323,r_exact_255_present,0
A001427321,Xiaomi/M2006J10C,forehead,1,5026,0.66835106382978726,r_exact_255_present,0
A001427321,Xiaomi/M2006J10C,cheek_image_left,1,1909,0.98809523809523803,r_exact_255_present,0
A001516623,Xiaomi/M2006J10C,cheek_image_right,1,1561,0.85581140350877194,r_exact_255_present,0
A001521653,Xiaomi/M2006J10C,cheek_image_left,1,1923,0.99379844961240305,r_exact_255_present,0
A001545475,Xiaomi/M2006J10C,forehead,1,2037,0.36459638446393411,r_exact_255_present,0
A001545475,Xiaomi/M2006J10C,cheek_image_right,1,1867,0.97697540554683415,r_exact_255_present,0
A001560256,Xiaomi/M2006J10C,cheek_image_left,1,1691,0.98543123543123556,r_exact_255_present,0
A001572675,HONOR/BVL-AN00,cheek_image_right,1,1899,0.97384615384615381,r_exact_255_present,0
A001575759,Xiaomi/M2006J10C,forehead,1,2387,0.59615384615384615,r_exact_255_present,0
A001575759,Xiaomi/M2006J10C,cheek_image_left,1,1930,0.98069105691056924,r_exact_255_present,0
A001581917,Xiaomi/M2006J10C,cheek_image_right,1,1462,0.89473684210526316,r_exact_255_present,0
A001583377,Xiaomi/M2006J10C,forehead,1,4703,0.6835755813953488,r_exact_255_present,0
A001583377,Xiaomi/M2006J10C,cheek_image_left,1,1873,0.99627659574468075,r_exact_255_present,0
A001590165,Xiaomi/M2006J10C,cheek_image_right,1,2009,0.89090909090909087,r_exact_255_present,0
A001595943,Xiaomi/M2006J10C,cheek_image_right,1,2019,0.936456400742115,r_exact_255_present,0
A001598566,Xiaomi/M2006J10C,cheek_image_right,1,1965,0.93260560037968676,r_exact_255_present,0
A001601356,Xiaomi/M2006J10C,forehead,1,4889,0.70325086306098961,r_exact_255_present,0
A001601356,Xiaomi/M2006J10C,cheek_image_right,1,1678,0.90948509485094842,r_exact_255_present,0
A001602118,Xiaomi/M2006J10C,forehead,1,4941,0.74852295106802003,r_exact_255_present,0
A001606059,Xiaomi/M2006J10C,cheek_image_left,1,1764,0.9423076923076924,r_exact_255_present,0
A001608618,Xiaomi/M2006J10C,forehead,1,5997,0.75433962264150944,r_exact_255_present,0
A001608618,Xiaomi/M2006J10C,cheek_image_right,1,1809,0.95714285714285718,r_exact_255_present,0
A001610296,Xiaomi/M2006J10C,forehead,1,5167,0.71853706021415653,b_exact_255_present,0
A001612244,Xiaomi/M2006J10C,cheek_image_right,1,1756,0.95799236224768136,r_exact_255_present,0
A001613235,Xiaomi/M2006J10C,cheek_image_right,1,1841,0.93168016194331982,r_exact_255_present,0
A001613297,Xiaomi/M2006J10C,cheek_image_right,1,1911,0.93676470588235283,r_exact_255_present,0
A001617295,Xiaomi/M2006J10C,forehead,1,3105,0.71379310344827585,r_exact_255_present,0
A001619585,Xiaomi/M2006J10C,cheek_image_right,1,1931,0.87772727272727269,r_exact_255_present,0
A001622343,Xiaomi/M2006J10C,forehead,1,5937,0.71349597404158149,r_exact_255_present,0
A001623880,Xiaomi/M2006J10C,forehead,0,1181,0.15102301790281331,forehead_fraction_below_0.20,0
A001627437,Xiaomi/M2006J10C,forehead,1,2648,0.62630085146641434,r_exact_zero_present;g_exact_zero_present;b_exact_zero_present,0
A001628261,Xiaomi/M2006J10C,forehead,1,1932,0.46000000000000002,r_exact_255_present,0
A001628911,Xiaomi/M2006J10C,cheek_image_right,1,1783,0.89149999999999996,r_exact_255_present,0
A001633030,Xiaomi/M2006J10C,cheek_image_right,1,1759,0.95962902345881085,r_exact_255_present,0
A001636890,Xiaomi/M2006J10C,forehead,0,1488,0.18787878787878781,forehead_fraction_below_0.20,0
A001642726,Xiaomi/M2006J10C,forehead,1,5223,0.76092657342657344,r_exact_255_present,0
A001642726,Xiaomi/M2006J10C,cheek_image_left,1,1699,0.89421052631578946,g_exact_zero_present;b_exact_zero_present,0
A001642726,Xiaomi/M2006J10C,cheek_image_right,1,1778,0.93578947368421039,g_exact_zero_present;b_exact_zero_present,0
A001667601,Xiaomi/M2006J10C,forehead,0,60,0.0138185168125287,forehead_fraction_below_0.20,0
A001669198,Xiaomi/M2006J10C,cheek_image_right,1,1613,0.89910813823857305,r_exact_255_present,0
A001669732,Xiaomi/M2006J10C,forehead,0,10,0.0023741690408357,forehead_fraction_below_0.20,0
A001677153,Xiaomi/M2006J10C,forehead,1,4103,0.64472030169704586,r_exact_255_present,0
A001677153,Xiaomi/M2006J10C,cheek_image_left,1,1604,0.93473193473193483,r_exact_255_present,0
A001677951,Xiaomi/M2006J10C,forehead,1,4661,0.67747093023255811,r_exact_255_present,0
A001679943,Xiaomi/M2006J10C,forehead,1,2567,0.46252252252252252,r_exact_255_present,0
A001679943,Xiaomi/M2006J10C,cheek_image_left,1,1961,0.97271825396825395,r_exact_255_present,0
A001682602,Xiaomi/M2006J10C,cheek_image_left,1,1561,0.85160938352427717,r_exact_255_present,0
A001689488,Xiaomi/M2006J10C,forehead,0,1263,0.184487291849255,forehead_fraction_below_0.20;b_exact_zero_present,0
A001694036,Xiaomi/M2006J10C,forehead,1,5357,0.79058441558441561,r_exact_255_present,0
A001694036,Xiaomi/M2006J10C,cheek_image_left,1,1920,1,r_exact_255_present,0
A001698538,Xiaomi/M2006J10C,forehead,1,4889,0.6651700680272109,r_exact_255_present,0
A001698538,Xiaomi/M2006J10C,cheek_image_left,1,1920,0.87272727272727268,r_exact_255_present,0
A001699615,Xiaomi/M2006J10C,cheek_image_right,1,1698,0.96313102665910377,r_exact_255_present,0
A001711513-1,HONOR/BVL-AN00,forehead,1,1525,0.3784119106699752,b_exact_zero_present,0
A001766155,Xiaomi/M2006J10C,forehead,1,4486,0.67519566526189045,r_exact_255_present,0
A001766155,Xiaomi/M2006J10C,cheek_image_right,1,1707,0.9358552631578948,r_exact_255_present,0
A001766494,HONOR/BVL-AN00,cheek_image_right,1,2279,1,r_exact_255_present,0
A001768675,Xiaomi/M2006J10C,cheek_image_left,1,1842,0.97357293868921779,r_exact_255_present,0
A001809356,HONOR/BVL-AN00,cheek_image_right,1,1780,0.95085470085470081,r_exact_255_present,0
A001813114,HONOR/BVL-AN00,cheek_image_right,1,1720,0.90909090909090917,r_exact_255_present,0
A001816201-1,HONOR/BVL-AN00,forehead,1,5037,0.67592592592592593,r_exact_255_present,0
A001816201-1,HONOR/BVL-AN00,cheek_image_left,1,1840,0.95090439276485783,r_exact_255_present,0
A001818287,HONOR/BVL-AN00,forehead,0,136,0.033041788143828903,forehead_fraction_below_0.20,0
A001818287,HONOR/BVL-AN00,cheek_image_left,1,1931,0.98119918699187003,r_exact_255_present,0
A001819310,HONOR/BVL-AN00,cheek_image_left,1,1941,0.96279761904761918,r_exact_255_present,0
A001854061,HONOR/BVL-AN00,forehead,1,4962,0.64862745098039221,r_exact_255_present,0
A001854061,HONOR/BVL-AN00,cheek_image_left,1,1634,0.9555555555555556,r_exact_255_present,0
A001878464,HONOR/BVL-AN00,forehead,1,5765,0.71067554240631159,r_exact_255_present,0
A001888679,HONOR/BVL-AN00,cheek_image_right,1,1764,0.94736842105263164,r_exact_255_present,0
A001892094,HONOR/BVL-AN00,cheek_image_right,1,1911,0.88883720930232557,r_exact_255_present,0
A001923871-1,HONOR/BVL-AN00,forehead,1,5124,0.67024198822759973,r_exact_255_present,0
A001923871-1,HONOR/BVL-AN00,cheek_image_left,1,1683,0.96171428571428563,r_exact_255_present,0
A001926690-1,HONOR/BVL-AN00,forehead,1,5521,0.73731303418803418,r_exact_255_present,0
A001926690-1,HONOR/BVL-AN00,cheek_image_right,1,1927,0.99741200828157361,r_exact_255_present,0
A001929481,HONOR/BVL-AN00,cheek_image_left,1,2223,0.98015873015873001,r_exact_255_present,0
A001938232,HONOR/BVL-AN00,cheek_image_right,1,1991,0.95263157894736838,r_exact_255_present,0
A002021058-1,HONOR/BVL-AN00,forehead,0,65,0.0141550522648083,forehead_fraction_below_0.20,0
A002152807,HONOR/BVL-AN00,cheek_image_left,1,2005,0.99454365079365081,r_exact_255_present,0
A002326614-1,HONOR/BVL-AN00,forehead,1,4531,0.54590361445783131,r_exact_255_present,0
A002326614-1,HONOR/BVL-AN00,cheek_image_left,1,2056,0.99612403100775204,r_exact_255_present,0
A002329169,HONOR/BVL-AN00,forehead,1,2895,0.51816717379631283,r_exact_255_present,0
A002329169,HONOR/BVL-AN00,cheek_image_left,1,2015,0.92728946157386105,r_exact_255_present,0
A002342998,HONOR/BVL-AN00,cheek_image_left,1,1636,0.88913043478260867,r_exact_255_present,0
A002352380,HONOR/BVL-AN00,forehead,1,4419,0.53363120396087427,r_exact_255_present,0
A002356134,HONOR/BVL-AN00,cheek_image_left,1,2070,1,r_exact_255_present,0
A002360612,HONOR/BVL-AN00,cheek_image_right,1,2017,0.95501893939393945,r_exact_255_present,0
A002364485,HONOR/BVL-AN00,cheek_image_right,1,1897,0.96099290780141844,r_exact_255_present,0
